"Dataset","Split","Rows","Lots","Positives","Positive rate (%)"
"CNC Milling Tool Life","train","452","451","92","20.35"
"CNC Milling Tool Life","val","248","248","49","19.76"
"CNC Milling Tool Life","test","267","267","54","20.22"
"CNC Milling Tool Life","Total","967","966","195","20.17"
"Resistance Spot Welding","train","23353559","50605","1127552","4.83"
"Resistance Spot Welding","val","8908202","17330","230066","2.58"
"Resistance Spot Welding","test","9569719","18176","296508","3.1"
"Resistance Spot Welding","Total","41831480","86111","1654126","3.95"
"WM811K Wafer Map","train","68210","6457","19415","28.46"
"WM811K Wafer Map","val","51191","2152","2412","4.71"
"WM811K Wafer Map","test","53549","2153","3692","6.89"
"WM811K Wafer Map","Total","172950","10762","25519","14.76"
