"Dataset","Method","Models","Precision","Recall","F1","F2","G-mean","FPR"
"CNC Milling Tool Life","Fixed 0.5","3","0.9867","0.4383","0.6068","0.493","0.6615","0.0016"
"CNC Milling Tool Life","Global F2-only","3","0.6425","0.6914","0.5493","0.5968","0.6834","0.2254"
"CNC Milling Tool Life","OMMA","3","0.7728","0.5247","0.6238","0.5601","0.7093","0.0391"
"CNC Milling Tool Life","Proposed","3","0.9789","0.7469","0.8395","0.7802","0.8586","0.0047"
"Resistance Spot Welding","Fixed 0.5","3","0.2578","0.4464","0.3204","0.3833","0.6399","0.0391"
"Resistance Spot Welding","Global F2-only","3","0.2764","0.1729","0.1942","0.179","0.3763","0.0119"
"Resistance Spot Welding","OMMA","3","0.0458","0.8728","0.0868","0.188","0.5809","0.6056"
"Resistance Spot Welding","Proposed","3","0.3974","0.8423","0.5365","0.6836","0.8967","0.0423"
"WM811K Wafer Map","Fixed 0.5","3","0.2785","0.6109","0.3774","0.4856","0.7294","0.1248"
"WM811K Wafer Map","Global F2-only","3","0.3614","0.5324","0.4058","0.4608","0.69","0.09"
"WM811K Wafer Map","OMMA","3","0.1139","0.9183","0.2025","0.3802","0.6557","0.5309"
"WM811K Wafer Map","Proposed","3","0.2629","0.6332","0.3681","0.4886","0.7378","0.1373"
