"Dataset","Baseline","Metric","Mean delta","CI low","CI high","P(delta>0)"
"CNC Milling Tool Life","Fixed 0.5","Cost reduction per 1,000 rows (FN:FP=10)","621.7228","459.3945","797.7528","1"
"CNC Milling Tool Life","Fixed 0.5","Delta F2","0.2872","0.2196","0.3573","1"
"CNC Milling Tool Life","Fixed 0.5","Delta G-mean","0.1972","0.1484","0.2493","1"
"CNC Milling Tool Life","Global F2-only","Cost reduction per 1,000 rows (FN:FP=10)","288.3895","163.5144","404.5256","1"
"CNC Milling Tool Life","Global F2-only","Delta F2","0.1834","0.129","0.244","1"
"CNC Milling Tool Life","Global F2-only","Delta G-mean","0.1752","0.1345","0.2194","1"
"CNC Milling Tool Life","OMMA","Cost reduction per 1,000 rows (FN:FP=10)","476.9039","318.3521","637.9838","1"
"CNC Milling Tool Life","OMMA","Delta F2","0.2201","0.1587","0.288","1"
"CNC Milling Tool Life","OMMA","Delta G-mean","0.1494","0.1067","0.1993","1"
"Resistance Spot Welding","Fixed 0.5","Cost reduction per 1,000 rows (FN:FP=10)","119.5592","110.2889","128.5726","1"
"Resistance Spot Welding","Fixed 0.5","Delta F2","0.3003","0.2833","0.3163","1"
"Resistance Spot Welding","Fixed 0.5","Delta G-mean","0.2568","0.2407","0.2715","1"
"Resistance Spot Welding","Global F2-only","Cost reduction per 1,000 rows (FN:FP=10)","177.8929","165.7368","189.8206","1"
"Resistance Spot Welding","Global F2-only","Delta F2","0.5046","0.4852","0.5227","1"
"Resistance Spot Welding","Global F2-only","Delta G-mean","0.5205","0.5","0.5415","1"
"Resistance Spot Welding","OMMA","Cost reduction per 1,000 rows (FN:FP=10)","536.3285","529.8782","542.3602","1"
"Resistance Spot Welding","OMMA","Delta F2","0.4956","0.4831","0.5063","1"
"Resistance Spot Welding","OMMA","Delta G-mean","0.3158","0.3077","0.3233","1"
"WM811K Wafer Map","Fixed 0.5","Cost reduction per 1,000 rows (FN:FP=10)","3.7162","1.767","5.915","1"
"WM811K Wafer Map","Fixed 0.5","Delta F2","0.003","0.0008","0.0056","0.993"
"WM811K Wafer Map","Fixed 0.5","Delta G-mean","0.0084","0.0066","0.0102","1"
"WM811K Wafer Map","Global F2-only","Cost reduction per 1,000 rows (FN:FP=10)","25.3537","20.3319","30.7979","1"
"WM811K Wafer Map","Global F2-only","Delta F2","0.0278","0.0218","0.0343","1"
"WM811K Wafer Map","Global F2-only","Delta G-mean","0.0478","0.043","0.0529","1"
"WM811K Wafer Map","OMMA","Cost reduction per 1,000 rows (FN:FP=10)","169.7946","155.8087","181.7797","1"
"WM811K Wafer Map","OMMA","Delta F2","0.1084","0.0985","0.1177","1"
"WM811K Wafer Map","OMMA","Delta G-mean","0.0821","0.0725","0.0908","1"
