"Dataset","Method","FN:FP ratio","Cost per 1,000 rows","Reduction vs fixed 0.5 (%)"
"CNC Milling Tool Life","Fixed 0.5","10","1137.3283","0"
"CNC Milling Tool Life","Global F2-only","10","803.995","28.93"
"CNC Milling Tool Life","OMMA","10","992.5094","12.75"
"CNC Milling Tool Life","Proposed","10","515.6055","54.38"
"Resistance Spot Welding","Fixed 0.5","10","209.4634","0"
"Resistance Spot Welding","Global F2-only","10","267.7971","-30.81"
"Resistance Spot Welding","OMMA","10","626.2327","-219.86"
"Resistance Spot Welding","Proposed","10","89.9042","54.79"
"WM811K Wafer Map","Fixed 0.5","10","384.5076","0"
"WM811K Wafer Map","Global F2-only","10","406.1452","-5.69"
"WM811K Wafer Map","OMMA","10","550.5861","-43.25"
"WM811K Wafer Map","Proposed","10","380.7914","0.97"
